id,name,hazardous
54000956,(2020 DC3),True
2308635,308635 (2005 YU55),True
3693163,(2014 TY33),True
3127412,(2002 MX),True
3776858,(2017 OA),True
3735539,(2015 WG9),True
3082923,(2001 SQ3),True
2523609,523609 (2005 PJ2),True
2342866,342866 (2008 YU32),True
3448993,(2009 DM45),True
54222424,(2021 VR27),True
3522155,(2010 JE88),True
54055026,(2020 TT),True
3031184,(2000 EU70),True
54051100,(2020 PY4),True
3678629,(2014 OM339),True
3365953,(2007 AC2),True
3015695,(1998 WB2),True
2462959,462959 (2011 DU),True
3183851,(2004 LY5),True
3709286,(2002 LX64),True
2453707,453707 (2010 XY72),True
3552292,(2010 RF181),True
2053319,53319 (1999 JM8),True
2458116,458116 (2010 DA),True
3035252,(2000 KA),True
2006489,6489 Golevka (1991 JX),True
2068347,68347 (2001 KB67),True
3720769,(2015 KH157),True
3736502,(2015 XK261),True
2065803,65803 Didymos (1996 GT),True
3170204,(2003 YS17),True
3745899,(2016 EL56),True
3714454,(2015 FS117),True
3352549,(2006 UQ17),True
2471241,471241 (2011 BX18),True
3418111,(2008 NQ3),True
54195861,(2021 RW9),True
2363599,363599 (2004 FG11),True
54161861,(2021 MK1),True
3555165,(2011 AT26),True
3736806,(2015 XU378),True
3152318,(2003 GR22),True
3994618,(2020 DP2),True
3620863,(2012 XA133),True
2360191,360191 (1988 TA),True
3884025,(2019 UO9),True
3841531,(2019 HN),True
2439313,439313 (2012 VE82),True
54016362,(2020 FX4),True
3557487,(2011 CB50),True
3471590,(2009 TK12),True
3010679,(1997 QK1),True
2450263,450263 (2003 WD158),True
2186844,186844 (2004 GA1),True
54244194,(2022 BH7),True
3305002,(2005 WY55),True
54054565,(2020 SE3),True
2418416,418416 (2008 LV16),True
3508127,(2010 CN44),True
2144900,144900 (2004 VG64),True
3462015,(2009 KK8),True
3404768,(2008 EE5),True
2005011,5011 Ptah (6743 P-L),True
3843612,(2019 QY1),True
2194268,194268 (2001 UY4),True
2363027,363027 (1998 ST27),True
3341129,(2006 RZ),True
2231937,231937 (2001 FO32),True
3717040,(2015 HB10),True
2065717,65717 (1993 BX3),True
54104895,(2020 XK7),True
3444275,(2009 AE16),True
3842757,(2019 LG1),True
2244977,244977 (2004 BE68),True
2485652,485652 (2011 WO41),True
2171576,171576 (1999 VP11),True
3529599,(2010 LZ63),True
54101718,(2020 YC3),True
2363734,363734 (2004 XN50),True
3826834,(2018 PL23),True
3046122,(2000 PP9),True
3428344,(2008 SY148),True
2163243,163243 (2002 FB3),True
2363116,363116 (2001 GQ2),True
3714488,(2015 FN118),True
2387746,387746 (2003 MH4),True
2551685,551685 (2013 HT15),True
3645192,(2013 ND24),True
3802421,(2018 GJ1),True
2612989,612989 (2005 LW39),True
2482796,482796 (2013 QJ10),True
3989317,(2020 BF14),True
3157028,(2003 MK4),True
3827151,(2018 RB),True
2518678,518678 (2008 UZ94),True
2138127,138127 (2000 EE14),True
3378131,(2007 KG7),True
2251346,251346 (2007 SJ),True
2612050,612050 (1997 GL3),True
3165472,(2003 VE1),True
54110458,(2021 CJ2),True
2143992,143992 (2004 AF),True
2163026,163026 (2001 XR30),True
3274302,(2005 EW169),True
3651198,(2013 TV135),True
3013664,(1998 QA62),True
3616695,(2012 VL6),True
3631824,(2013 ED28),True
3028804,(2000 BO28),True
3835509,(2018 UC2),True
2267337,267337 (2001 VK5),True
3606308,(2012 OP4),True
3152323,(2003 GP51),True
3675019,(2014 OT111),True
3381347,(2007 PR25),True
2269690,269690 (1996 RG3),True
2004183,4183 Cuno (1959 LM),True
3409624,(2008 HH),True
3295790,(2005 UR),True
3472299,(2009 UY17),True
2456938,456938 (2007 YV56),True
3680936,(2014 OJ392),True
2466130,466130 (2012 FZ23),True
3788048,(2017 UX5),True
3558375,(2011 EL11),True
2468910,468910 (2014 KQ76),True
2333578,333578 (2006 KM103),True
3131063,(2002 NY40),True
3789080,(2017 VV),True
3329371,(2006 GC1),True
2455176,455176 (1999 VF22),True
3825831,(2018 OB1),True
3180149,(2004 HD2),True
3284923,(2005 OX),True
2007341,7341 (1991 VK),True
3843589,(2019 QX),True
3673168,(2014 KB91),True
2391211,391211 (2006 HZ51),True
3843155,(2019 NY2),True
2436329,436329 (2010 GX62),True
2434677,434677 (2006 BZ7),True
2412983,412983 (1996 FO3),True
2330233,330233 (2006 KV86),True
2505657,505657 (2014 SR339),True
2371660,371660 (2007 CN26),True
2152828,152828 (1999 VT25),True
3726513,(2015 QO3),True
2417816,417816 (2007 FA),True
3432688,(2008 UU1),True
3321493,(2006 CU),True
2413260,413260 (2003 TL4),True
2363305,363305 (2002 NV16),True
3330155,(2006 HV5),True
2468468,468468 (2004 KH17),True
2090416,90416 (2003 YK118),True
3879231,(2019 UO),True
2368565,368565 (2004 FE5),True
3648203,(2013 RZ73),True
3801936,(2018 EH4),True
54054747,(2020 TF),True
2516454,516454 (2005 FN4),True
3624742,(2013 BD18),True
3765705,(2016 XC18),True
2090403,90403 (2003 YE45),True
2467351,467351 (2003 KO2),True
3384067,(2007 RU9),True
3137865,(2002 TB70),True
3092419,(2001 VB),True
3752780,(2016 JW5),True
2434096,434096 (2002 GO5),True
3159886,(2003 RS1),True
3763276,(2016 VC1),True
3667127,(2014 GE35),True
2484506,484506 (2008 ER7),True
3736679,(2015 XE352),True
3568319,(2011 MU),True
2031669,31669 (1999 JT6),True
2004179,4179 Toutatis (1989 AC),True
2612143,612143 (2000 BO28),True
3467085,(2009 RV1),True
3710245,(2015 CZ13),True
3120885,(2002 GM5),True
2152664,152664 (1998 FW4),True
3249141,(2004 PJ2),True
3669253,(2014 HQ124),True
3399920,(2008 AK33),True
2612356,612356 (2002 JX8),True
3789679,(2017 WC15),True
3102683,(2001 XX4),True
3776300,(2017 NK),True
54235476,(2022 AH1),True
3740926,(2016 BV14),True
3369614,(2007 DS84),True
2250680,250680 (2005 QC5),True
2477465,477465 (2009 XZ1),True
2446791,446791 (1998 SJ70),True
3315647,(2006 CF),True
3580963,(2011 TK),True
2163348,163348 (2002 NN4),True
3412755,(2008 KV2),True
2312070,312070 (2007 TA19),True
2325395,325395 (2009 CQ5),True
2012538,12538 (1998 OH),True
3719473,(2015 KB19),True
2439437,439437 (2013 NK4),True
3022970,(1999 SG10),True
2163132,163132 (2002 CU11),True
3656788,(2014 BW2),True
3454735,(2009 FY4),True
3771452,(2017 ER13),True
3599930,(2012 CA55),True
54053719,(2020 RB),True
2529668,529668 (2010 JL33),True
54235471,(2022 AC1),True
3475238,(2009 VZ),True
2606441,606441 (2017 YT5),True
2483508,483508 (2003 CR1),True
2317255,317255 (2002 DJ5),True
54053727,(2020 RG),True
2525356,525356 (2005 BG14),True
3341200,(2006 RK1),True
2612326,612326 (2002 CD14),True
2418094,418094 (2007 WV4),True
3838082,(2019 BF5),True
2003671,3671 Dionysus (1984 KD),True
3775248,(2017 MC),True
3739217,(2016 AL8),True
2452376,452376 (2002 AC5),True
2482250,482250 (2011 LL2),True
2480820,480820 (1998 VF32),True
2509191,509191 (2006 OC5),True
3648317,(2013 RJ74),True
3802447,(2018 GG2),True
3669248,(2014 HE124),True
3744155,(2016 CR247),True
2357022,357022 (1999 YG3),True
3485260,(2010 AF30),True
3761034,(2016 TA57),True
3550889,(2010 SC41),True
3392084,(2007 VG),True
3330683,(2006 HT30),True
2154590,154590 (2003 MA3),True
2292220,292220 (2006 SU49),True
2365424,365424 (2010 KX7),True
2228368,228368 (2000 WK10),True
2450894,450894 (2008 BT18),True
3427522,(2008 SR1),True
2138727,138727 (2000 SU180),True
3467148,(2009 RZ3),True
2418849,418849 (2008 WM64),True
3740928,(2016 BZ14),True
54142826,(2021 HC3),True
54239715,(2022 BJ),True
2277475,277475 (2005 WK4),True
2053789,53789 (2000 ED104),True
2436774,436774 (2012 KY3),True
54216372,(2021 VW3),True
3441149,(2008 XQ2),True
54184708,(2021 PC9),True
2494697,494697 (2004 SW55),True
54091633,(2020 WP1),True
3160737,(2003 SK84),True
2523813,523813 (2008 VB1),True
3689271,(2014 SS1),True
3414394,(2008 MP1),True
3574344,(2011 OV18),True
54222425,(2021 WD),True
2474231,474231 (2001 HZ7),True
3736776,(2015 XW377),True
2518810,518810 (2010 CF19),True
3549694,(2010 TX168),True
3646734,(2013 QC11),True
3383904,(2007 RF2),True
2422686,422686 (2000 AC6),True
3427986,(2008 SJ82),True
3653916,(2013 WT44),True
54017438,(2020 LG1),True
2535844,535844 (2015 BY310),True
3739011,(2015 YU7),True
2434196,434196 (2003 HG2),True
3646046,(2013 QU1),True
54178640,(2021 PH2),True
2267131,267131 (2000 EK26),True
2026663,26663 (2000 XK47),True
3024714,(1999 XK136),True
3739316,(2016 AA10),True
3798967,(2018 BD6),True
2140039,140039 (2001 SO73),True
3802120,(2018 FO5),True
3653970,(2013 WT45),True
54017195,(2020 KN3),True
2475534,475534 (2006 TS7),True
2162567,162567 (2000 RW37),True
54114200,(2021 CW4),True
3781911,(2017 SL17),True
2168318,168318 (1989 DA),True
2614134,614134 (2008 TC4),True
2533011,533011 (2014 AY28),True
3762886,(2016 UF101),True
3597095,(2012 BB124),True
3423022,(2008 ON13),True
2380981,380981 (2006 SU131),True
54075550,(2020 UF2),True
3644046,(2013 LN31),True
3703003,(2014 YL14),True
2294739,294739 (2008 CM),True
2100085,100085 (1992 UY4),True
3553704,(2010 XA68),True
54226796,(2021 XG2),True
3928734,(2019 XK3),True
3387458,(2007 TH1),True
2451370,451370 (2011 AK5),True
2506732,506732 (2006 VW2),True
3743605,(2016 CU193),True
3645200,(2013 OD4),True
2516154,516154 (2016 CL32),True
2141495,141495 (2002 EZ11),True
3838130,(2019 CT1),True
2311066,311066 (2004 DC),True
3718828,(2015 HX176),True
3666411,(2014 EQ49),True
3147555,(2003 BR47),True
54154697,(2021 LD1),True
3279432,(2005 LW3),True
2411165,411165 (2010 DF1),True
3551067,(2010 VD72),True
2430544,430544 (2002 GM2),True
54016330,(2020 FR3),True
3755345,(2016 NG33),True
3553169,(2010 XC15),True
2484402,484402 (2007 XH16),True
3092474,(2001 VC2),True
3423762,(2008 PJ9),True
3014117,(1998 SL36),True
3256319,(2004 TB10),True
3799720,(2018 DH1),True
3014110,(1998 SU4),True
3147553,(2003 BK47),True
3989074,(2020 BJ4),True
54147407,(2021 KT1),True
2455184,455184 (2000 ED14),True
3337992,(2006 PA1),True
2358744,358744 (2008 CR118),True
3334817,(2006 KY86),True
3825756,(2018 NY14),True
2471240,471240 (2011 BT15),True
3672561,(2014 KS40),True
2053550,53550 (2000 BF19),True
2281375,281375 (2008 JV19),True
2496005,496005 (2007 XJ16),True
3555162,(2011 AM24),True
54017454,(2020 LM1),True
2065909,65909 (1998 FH12),True
2530974,530974 (2012 BN11),True
3132521,(2002 PF43),True
54006017,(2020 DM4),True
3013045,(1998 HH49),True
3766635,(2017 BL3),True
2220839,220839 (2004 VA),True
3721220,(2015 LK24),True
